ARC_Cam,ARC CAMARO
Carrera Cup,Porsche 911 GT3 Cup 3.8
Carrera Cup,Porsche 911 GT3 Cup 4.0
Cat_Academy,Caterham Academy
Cat_Superlight,Caterham Superlight
Cat_Supersport,Caterham Supersport
Cat620R,Caterham 620R
F-3,Dallara F301
F-3,Dallara F309
F-Inter,Formula Inter MG-15
F-Junior,Formula Junior
F-Trainer,Formula Trainer
F-Trainer_A,Formula Trainer Advanced
F-Ultimate_Gen2,Formula Ultimate Gen2
F-USA_2023,Formula USA 2023
F-V10_Gen1,Formula V10 Gen1
F-V10_Gen1,McLaren Mercedes MP4_12
F-Vee,Formula Vee
F-Vee,Formula Vee Fin
G55Supercup,Ginetta G55 GT4 Supercup
Group A,BMW M3 Sport Evo Group A
Group A,Audi V8 quattro DTM
Group A,Mercedes-Benz 190E 2.5-16 Evo II DTM
Group C,Chevrolet Corvette GTP
Group C,Porsche 962C
GT1,McLaren F1 GTR
GT1,Mercedes-Benz CLK LM
GT1,Nissan R390 GT1
GT1,Porsche 911 GT1-98
GT3,Audi R8 LMS GT3
GT3,BMW M6 GT3
GT3,McLaren 720S GT3
GT3,Mercedes-AMG GT3
GT3,Nissan GT-R Nismo GT3
GT3,Porsche 911 GT3 R
GT3_Gen2,Audi R8 LMS GT3 evo II
GT3_Gen2,BMW M4 GT3
GT3_Gen2,Chevrolet Corvette Z06 GT3.R
GT3_Gen2,Lamborghini Huracan GT3 EVO2
GT3_Gen2,McLaren 720S GT3 Evo
GT3_Gen2,Mercedes-AMG GT3 Evo
GT3_Gen2,Porsche 992 GT3 R
GT4,Audi R8 LMS GT4
GT4,BMW M4 GT4
GT4,Chevrolet Camaro GT4.R
GT4,Ginetta G55 GT4
GT4,McLaren 570S GT4
GT4,Mercedes-AMG GT4
GT4,Porsche Cayman GT4 Clubsport MR
GT5,Ginetta G40
GT5,Puma P052
GTE,BMW M8 GTE
GTE,Chevrolet Corvette C8.R
GTE,PORSCHE 911 GTE
GTOpen,Ginetta G55 GT3
GTOpen,Ultima GTR Race
Hypercars,Brabham BT62
Hypercars,Lamborghini Veneno Roadster
Hypercars,McLaren Senna
Kart125cc,Kart 2-Stroke 125cc Direct
KartGX390,Kart 4-Stroke Race
KartRental,Kart 4-Stroke Rental
KartShifter,Kart 2-Stroke 125cc Shifter
LancerCup,Mitsubishi Lancer R
LancerCup,Mitsubishi Lancer RS
LMDh,Alpine A424
LMDh,BMW M Hybrid V8
LMDh,Porsche 963
LMP2,Ligier JS P217
LMP2,Oreca 07
LMP2_Gen1,Oreca 07
MiniChallenge,MINI Cooper JCW
OldStock,Chevrolet Opala Old Stock Race
Opala79,Chevrolet Opala Stock Cars 1979
Opala86,Chevrolet Opala Stock Cars 1986
P3,Roco 001
P4,MCR S2000
Procar,BMW M1 Procar
SprintRace,Sprint Race
StockCarV8_2024,Chevrolet Cruze Stock Car 2024
Street,Chevrolet Camaro SS
Super Trofeo,Lamborghini Huracan Super Trofeo EVO2
Supercars,McLaren F1 LM
Supercars,Ultima GTR
Supercars,Chevrolet Corvette C8 Z06 (+Z07 Upgrade)
SuperKart,Superkart 250cc
SuperV8,SUPER V8
TC60S,BMW 2002 Turbo
TC60S2,MINI Cooper S 1965
TC70S,Chevrolet Corvette C3.R Convertible
TC70S,Porsche 911 RSR 1974
TSICup,Volkswagen Polo
TSICup,Volkswagen Polo GTS
TSICup,Volkswagen Virtus