Country,Track,Layout Name in Game,Track Display Name,Image Name
Monaco,Azure Circuit,Azure Circuit,Azure Circuit,Azure_Circuit.png
Spain,Barcelona,Circuit de Barcelona-Catalunya GP (no chicane),Circuit de Barcelona-Catalunya GP (no chicane),Circuit_de_Barcelona-Catalunya_GP_(No_Chicane).png
Spain,Barcelona,Circuit de Barcelona-Catalunya Historic 1991,Circuit de Barcelona-Catalunya Historic 1991,Barcelona_1991.png
Spain,Barcelona,Circuit de Barcelona-Catalunya National,Circuit de Barcelona-Catalunya National,Circuit_de_Barcelona-Catalunya_National.png
Spain,Barcelona,Grand Prix,Circuit de Barcelona-Catalunya GP,Circuit_de_Barcelona-Catalunya_GP.png
England,Brands Hatch,Brands Hatch,Brands Hatch,Brands_Hatch_GP.png
England,Brands Hatch,Brands Hatch Indy,Brands Hatch Indy,Brands_Hatch_Indy.png
England,Cadwell Park,Cadwell Park,Cadwell Park,Cadwell_Park.png
Portugal,Cascais,Cascais_GP,Cascais,Cascais.png
USA,Cleveland,Cleveland GP,Cleveland GP,Cleveland_GP.png
USA,Daytona,Daytona Nascar Road Course,Daytona Nascar Road Course,
USA,Daytona,Daytona Nascar Tri-Oval,Daytona Nascar Tri-Oval,
USA,Daytona,Daytona Sports Car Course,Daytona Sports Car Course,
England,Donington Park,Donington GP,Donington GP,Donington_GP.png
England,Donington Park,Donington National,Donington National,
Germany,Hockenheimring,Grand Prix,Hockenheimring,Hockenheim.png
Germany,Hockenheimring,National,Hockenheimring National,Hockenheim_National.png
Italy,Imola,Imola,Imola,Imola.png
USA,Indianapolis,Indianapolis Motor Speedway Road Course,Indianapolis Motor Speedway Road Course,Indianapolis_Motor_Speedway_Road_Course.png
Brazil,Interlagos,Interlagos GP,Interlagos GP,Interlagos_GP.png
Spain,Jerez,Chicane,Jerez Chicane,Jerez_Chicane.png
Japan,Kansai,Kansai East,Kansai East,Kansai_East.png
Japan,Kansai,Kansai GP,Kansai GP,Kansai_GP.png
Japan,Kansai,Kansai West,Kansai West,Kansai_West.png
USA,Laguna Seca,Laguna Seca 2020,Laguna Seca 2020,Laguna_Seca_2020.png
France,Le Mans,Circuit des 24 Heures du Mans,Circuit des 24 Heures du Mans,Le_Mans_24h.png
France,Le Mans,Le Mans Circuit Bugatti,Le Mans Circuit Bugatti,Le_Mans_Circuit_Bugatti.png
USA,Long Beach,Long Beach,Long Beach,Long_Beach.png
Canada,Montreal,Montreal,Montreal,Montreal.png
Italy,Monza,Monza,Monza,Monza.png
Italy,Monza,Monza Junior,Monza Junior,Monza_Junior.png
Canada,Mosport,Mosport,Mosport,
Germany,Nürburgring,Nordschleife 2020,Nordschleife 2020,Nordschleife_2020.png
Germany,Nürburgring,Nordschleife 24 Hour 2020,Nordschleife 24 Hour 2020,Nordschleife_24_Hour_2020.png
Germany,Nürburgring,Nürburgring GP 2020,Nürburgring GP 2020,Nurburgring_GP_2020.png
Germany,Nürburgring,Nürburgring Sprint 2020,Nürburgring Sprint 2020,Nurburgring_Sprint_2020.png
Germany,Nürburgring,Nürburgring Sprint S 2020,Nürburgring Sprint S 2020,Nurburgring_Sprint_S_2020.png
Germany,Nürburgring,Nürburgring Veedol 2020,Nürburgring Veedol 2020,Nurburgring_Veedol_2020.png
England,Oulton Park,Oulton Park Classic,Oulton Park Classic,Oulton_Park_Classic.png
England,Oulton Park,Oulton Park Fosters,Oulton Park Fosters,Oulton_Park_Fosters.png
England,Oulton Park,Oulton Park International,Oulton Park International,Oulton_Park_International.png
England,Oulton Park,Oulton Park Island,Oulton Park Island,Oulton_Park_Island.png
USA,Road America,Road America,Road America,Road_America.png
USA,Road Atlanta,Road Atlanta,Road Atlanta,
USA,Sebring,Sebring,Sebring,
USA,Sebring,Sebring Club,Sebring Club,
USA,Sebring,Sebring School,Sebring School,
England,Silverstone,Silverstone,Silverstone,Silverstone.png
England,Silverstone,Silverstone International,Silverstone International,Silverstone_International.png
England,Silverstone,Silverstone National,Silverstone National,Silverstone_National.png
England,Snetterton,Snetterton 100,Snetterton 100,Snetterton_100.png
England,Snetterton,Snetterton 200,Snetterton 200,Snetterton_200.png
England,Snetterton,Snetterton 300,Snetterton 300,Snetterton_300.png
Belgium,Spa-Francorchamps,Spa-Francorchamps 2022,Spa-Francorchamps 2022,Spa-Francorchamps_2022.png
Belgium,Spa-Francorchamps,Spa-Francorchamps Historic 1970 1000km,Spa-Francorchamps Historic 1970 1000km,Spa-Francorchamps_1970_1000km.png
Austria,Spielberg,Spielberg,Spielberg,Spielberg.png
Austria,Spielberg,Spielberg Short,Spielberg Short,Spielberg_Short.png
Argentina,Termas de Río Hondo,Termas de Río Hondo,Termas de Río Hondo,Termas_de_Rio_Hondo.png
USA,Virginia,VIRginia International Raceway Full,VIRginia International Raceway Full,
USA,Virginia,VIRginia International Raceway Grand,VIRginia International Raceway Grand,
USA,Virginia,VIRginia International Raceway North,VIRginia International Raceway North,
USA,Virginia,VIRginia International Raceway Patriot,VIRginia International Raceway Patriot,
USA,Virginia,VIRginia International Raceway South,VIRginia International Raceway South,
USA,Watkins Glen,Watkins Glen GP,Watkins Glen GP,
USA,Watkins Glen,Watkins Glen GP (Inner Loop),Watkins Glen GP (Inner Loop),
USA,Watkins Glen,Watkins Glen Short,Watkins Glen Short,
USA,Watkins Glen,Watkins Glen Short (Inner Loop),Watkins Glen Short (Inner Loop),